Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Cariboo,866916,25889,Canada,Gold,IM-17-044,3/28/2017,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Exploration,BGM-TVX,0.36,0.88,>100,115.87,292.93,148.25%,FALSE,2,,1,"Two other results in the top ten, the 3/21/2017 and 3/16/2017 result was removed as a duplicate."
Cariboo,861104,25889,Canada,Gold,IM-17-040,3/21/2017,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.33,0.52,>100,106.23,174.08,60.85%,FALSE,21,,,"Two other results in the top ten, the higher ranking result from 3/28/2017 result was retained."
Cariboo,860374,25889,Canada,Gold,IM-17-027,3/16/2017,Gold,Barkerville Gold Mines Ltd.,4348461,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.34,0.52,>100,110.32,173.4,54.28%,FALSE,24,,,"Two other results in the top ten, the higher ranking result from 3/28/2017 result was retained."
Ying,806606,33061,China,Silver,ZKX0161B,1/30/2017,Silver,Silvercorp Metals Inc.,4354271,Operating,No,Underground,Extension,SVM-TSX,2.89,4.06,>100,483.16,678.93,40.52%,FALSE,33,,2,"One other result in the top ten, the 1/23/2017 result was removed as a duplicate."
Ying,801635,33061,China,Silver,ZK05S1905,1/23/2017,Lead,Silvercorp Metals Inc.,4354271,Operating,No,Underground,Extension,SVM-TSX,2.84,3.88,>100,474.43,648.9,36.77%,FALSE,40,,,"One other result in the top ten, the higher ranking result from 1/30/2017 result was retained."
Jaurdi,839257,78421,Australia,Gold,JD17C10,1/31/2017,Gold,Beacon Minerals Limited,4348499,Target Outline,Yes,Surface,Exploration,BCN-ASX,0.01,0.02,>10 - 100,13.57,29.87,120.16%,FALSE,4,,2,No duplicates in the top ten. All other results came afterward. 
Pickle Crow,810489,25934,Canada,Gold,PC-16-306,2/3/2017,Gold,First Mining Finance Corp.,4586283,Reserves Development,No,Surface,Extension,FF-TSX,0.61,0.82,>100,310.7,415.29,32.95%,FALSE,51,,4,3 days after the drill result there was another result reported from the same company (gain of 28.64%)
Windfall Lake,788673,30439,Canada,Gold,OSK-W-16-743,1/5/2017,Gold,Osisko Mining Inc.,4404986,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,1.95,2.58,>100,315.67,415.01,32.53%,FALSE,52,,5,"6 days after the drill result there was another result reported from the same property (gain of 28.99%), 2 results in the top ten from the same reporting company and their 20 day period overlap."
Sugar Zone,847063,30966,Canada,Gold,WZ-17-52,2/22/2017,Gold,Harte Gold Corporation,4350953,Prefeas/Scoping,Yes,Surface,Extension,HRT-TSX,0.28,0.37,>100,121.73,162.56,32.00%,FALSE,55,,6,"No other results in the top ten, all results came after the reported date."
Railroad-Pinion,799129,27614,USA,Gold,DS16-18,1/19/2017,Gold,Gold Standard Ventures Corporation,4350544,Reserves Development,Yes,Surface,Extension,GSV-TVX,2.18,2.87,>100,482.55,635.93,31.79%,FALSE,56,,7,"One other result in the top ten, the 1/23/2017 result was removed as a duplicate."
Kiena,812509,25795,Canada,Gold,6143,2/8/2017,Gold,Wesdome Gold Mines Limited,4355310,Operating,Yes,Underground,Extension,WDO-TSX,2.14,2.82,>100,278.98,367.8,31.40%,FALSE,57,,8,
Kamoa-Kakula,801587,38134,Dem. Rep. Congo,Copper,DKMC_DD1093,1/23/2017,Copper,Ivanhoe Mines Limited,4351368,Feasibility Started,Yes,Surface,Extension,IVN-TSX,2.77,3.57,>100,"2,163.58","2,792.23",29.06%,FALSE,66,,9,
Windfall Lake,792254,30439,Canada,Gold,OSK-W-16-760,1/11/2017,Gold,Osisko Mining Inc.,4404986,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.01,2.59,>100,325.11,416.01,28.99%,FALSE,67,,,"4 other results in the top ten from the same reporting company, the 1/5/2017 result was retained."
Springpole,811427,27534,Canada,Gold,PM-DH-02,2/6/2017,Gold,First Mining Finance Corp.,4586283,Prefeas/Scoping,Yes,Surface,Metallurgical,FF-TSX,0.62,0.8,>100,315.17,407.59,28.64%,FALSE,69,,,Same reporting company as interval ID 810489 dated 2/3/2017
Railroad-Pinion,801669,27614,USA,Gold,RR16-05,1/23/2017,Gold,Gold Standard Ventures Corporation,4350544,Reserves Development,Yes,Surface,Extension,GSV-TVX,2.23,2.85,>100,493.51,630.34,27.72%,FALSE,73,,,"One other result in the top ten, the higher ranking result from 1/19/2017 result was retained."
Sugar Zone,860221,30966,Canada,Gold,SZ-17-143,3/16/2017,Gold,Harte Gold Corporation,4350953,Prefeas/Scoping,Yes,Surface,Extension,HRT-TSX,0.4,0.51,>100,175.69,225.09,26.28%,FALSE,76,,,"One other result in the top ten, the higher ranking result from 2/22/2017 result was retained."
Golden Bear,859291,26979,Canada,Gold,OSK-G17-331,3/15/2017,Gold,Osisko Mining Inc.,4404986,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.99,3.78,>100,547.08,690.95,0.261437343,FALSE,77,,10,20 day period does not overlap with the first property of the same reporting company
