Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Los Chapitos,881886,60068,Peru,Copper,4/18/2017,Camino Minerals Corporation,4348860,Copper,CHR-002,Target Outline,Yes,Surface,Extension,"8,020.28",COR-TVX,0.264,0.941,<10,9.63,34.37,256.80%,1,,1,No results in the top ten. All other results came afterward. 
Los Domos,916760,78163,Chile,Gold,6/15/2017,Equus Mining Limited,4348979,Gold,Channel 7A,Exploration,No,Surface,Exploration,"1,250.02",EQE-ASX,0.014,0.027,<10,9.17,17.73,93.40%,2,,2,
Leonora,882370,28500,Australia,Gold,4/19/2017,Kin Mining NL,4361760,Gold,LS17RC067,Feasibility Started,Yes,Surface,Extension,"25,513.16",KIN-ASX,0.17,0.324,>10 - 100,21.16,51.6,90.90%,3,*,1,Two results in the top ten. Removed a drill result from 4/3/2017 (16 days earlier) that was within the top ten. 
Jefferson,875598,60803,USA,Gold,4/4/2017,Pancontinental Gold Corporation,4353209,Gold,JEF-108,Target Outline,No,Surface,Exploration,"1,259.57",PUC.H-TVX,0.034,0.052,<10,3.34,5.16,54.40%,6,,4,
Bromus,905126,62371,Australia,Gold,5/23/2017,Greatland Gold Plc,4350797,Zinc,BRD005,Target Outline,No,Surface,Exploration,24.313,GGP-AIMLSE,0.005,0.01,<10,9.4,18,89.80%,4,,3,
Las Minas,901954,30013,Mexico,Gold,5/17/2017,Mexican Gold Corp.,4354438,Gold,LM-17-ED-31,Target Outline,No,Surface,Infill,"5,746.17",MEX-TVX,0.224,0.297,<10,6.27,10.08,32.50%,29,*,6,Two results in the top ten. Removed a drill result from 5/15/2017 (two days earlier) that was within the top ten. One other result a month earlier and another result that came later. 
Las Minas,901061,30013,Mexico,Gold,5/15/2017,Mexican Gold Corp.,4354438,Gold,LM-17-CS-04,Target Outline,No,Surface,Extension,"1,288.99",MEX-TVX,0.219,0.289,<10,6.11,9.79,32.00%,30,,,Two results in the top ten. Removed this result as a duplicate and left in the higher ranked result from 5/17/2017.
Cuatro de Mayo,905948,52108,Mexico,Gold,5/24/2017,San Marco Resources Inc.,4354003,Gold,Z-02,Target Outline,No,Surface,Exploration,452.751,SMN-TVX,0.119,0.155,<10,6.65,8.71,30.60%,34,,7,
Kildare,924952,78073,Ireland,Zinc,6/23/2017,Zinc of Ireland NL,4350477,Zinc,Z-4069-003,Target Outline,Yes,Surface,Extension,"9,738.63",ZMI-ASX,0.003,0.004,<10,2.93,3.71,28.10%,38,,8,
Leonora,871896,28500,Australia,Gold,4/3/2017,Kin Mining NL,4361760,Gold,HE17RC009,Feasibility Started,Yes,Surface,Extension,"5,788.06",KIN-ASX,0.141,0.267,>10 - 100,17.6,33.31,89.20%,5,,,Two results in the top ten. Removed this result as a duplicate and left in the higher ranked result from 4/19/2017. All other results came afterwards.
Challenger,901471,29378,Australia,Gold,5/17/2017,WPG Resources Limited,4282806,Gold,17CUD2072,Operating,No,Underground,Extension,864.096,WPG-ASX,0.038,0.056,>10 - 100,28.65,42.06,46.80%,10,,4,"No other results in the top ten, all other results came afterwards. "
Bygoo,937520,76132,Australia,Tin,6/28/2017,Thomson Resources Limited,4366883,Tin,BNRC033,Target Outline,Yes,Underground,Extension,"6,028.98",TMZ-ASX,0.03,0.037,<10,3.1,3.84,22.70%,52,,10,
Grand Bois,902547,26784,Haiti,Gold,5/18/2017,3D Resources Limited,4347731,Gold,GBDH-011,Reserves Development,Yes,Surface,Exploration,"21,102.73",DDD-ASX,0.004,0.005,<10,2.43,2.97,22.10%,58,,,
Calingiri,922013,49881,Australia,Copper,6/22/2017,Caravel Minerals Limited,4354269,Copper,17CARC011,Prefeas/Scoping,No,Surface,Exploration,836.64,CVV-ASX,0.038,0.046,<10,2.58,3.15,22.00%,59,,,
Cuitaboca,936631,29381,Mexico,Silver,6/29/2017,Santana Minerals Limited,4391733,Silver,MSRC033,Target Outline,Yes,Surface,Exploration,"1,467.99",SMI-ASX,0.02,0.024,<10,5.2,6.25,20.30%,63,,,
Clavos,898892,25894,Canada,Gold,5/10/2017,Sage Gold Inc.,4353973,Gold,CL-17-02,Prefeas/Scoping,No,Surface,Extension,921.859,SGX-TVX,0.128,0.152,<10,8.75,10.43,19.20%,67,,,
Loranger,906024,78390,Canada,U3O8,5/24/2017,Appia Energy Corp.,4356439,U3O8,LOR-17-004,Target Outline,No,Surface,Exploration,390.843,API-CNQ,0.111,0.132,<10,5.82,6.93,18.90%,69,,,
Topley Richfield,907788,60241,Canada,Gold,5/24/2017,Shamrock Enterprises Inc.,4354118,Silver,SE_01_5/24/2017,Exploration,Yes,Surface,Exploration,"1,525.46",SRS-CNQ,0.022,0.026,<10,0.6,0.71,18.90%,70,,,
Spring Creek,929830,36154,Australia,Copper,6/27/2017,Archer Exploration Limited,4348125,Copper,BHRC1708,Target Outline,No,Surface,Exploration,90.213,AXE-ASX,0.033,0.038,<10,4.48,5.26,17.40%,76,,,
Wolfsberg,938314,38460,Austria,Lithium,6/28/2017,European Lithium Limited,4353255,Lithium,P15-6,Prefeas/Scoping,No,Surface,Exploration,514.5,EUR-ASX,0.032,0.037,<10,5.72,6.82,16.90%,79,,,
Preview SW,897104,39494,Canada,Gold,5/8/2017,Comstock Metals Limited,4349408,Gold,PR17-164,Reserves Development,Yes,Surface,Extension,"5,645.22",CSL-TVX,0.102,0.119,<10,7.51,8.73,16.30%,82,,,
Unkur,912128,77290,Russia,Copper,6/5/2017,Azarga Metals Corp.,4350081,Copper,AM-001,Reserves Development,Yes,Surface,Extension,"1,916.37",AZR-TVX,0.137,0.158,<10,6.41,7.61,15.70%,86,,,
Widgiemooltha,937565,32767,Australia,Gold,6/28/2017,Mincor Resources NL,4352320,Gold,MRC512,Feasibility Started,Yes,Surface,Extension,"2,233.99",MCR-ASX,0.106,0.155,>10 - 100,20.07,29.2,45.50%,13,*,7,"13 days earlier, two results were released for their Widgiemooltha and North Kambalda properties. "
Hawkins,878497,55097,Canada,Gold,4/11/2017,Sunvest Minerals Corp.,4366464,Gold,HW-17-06,Reserves Development,No,Surface,Extension,503.49,SSS-TVX,0.094,0.106,<10,2.57,2.92,13.50%,98,,,
Abu Marawat,902933,29210,Egypt,Gold,5/18/2017,Aton Resources Inc.,4347895,Gold,HAD-007,Reserves Development,Yes,Surface,Extension,"3,334.18",AAN-TVX,0.029,0.033,<10,5.4,6.12,13.30%,100,,,
Snow Lake,875640,36005,Canada,Copper,4/6/2017,Rockcliff Copper Corporation,4354421,Gold,TB-019,Reserves Development,Yes,Surface,Extension,"1,624.91",RCU-TVX,0.056,0.063,<10,7.62,8.55,12.10%,111,,,
Yongwon,902572,77923,South Korea,Graphite,5/17/2017,Peninsula Mines Limited,4349702,Graphite,Trench2,Exploration,No,Surface,Extension,138,PSM-ASX,0.015,0.017,<10,7.68,8.54,11.30%,126,,,
Calingiri,874212,49881,Australia,Copper,4/4/2017,Caravel Minerals Limited,4354269,Copper,17CAAC202,Prefeas/Scoping,No,Surface,Infill,390.987,CVV-ASX,0.047,0.052,<10,3.19,3.54,10.80%,128,,,
Timmins Porcupine West,898933,37902,Canada,Gold,5/10/2017,Explor Resources Inc.,4350107,Zinc,KC-17-07,Reserves Development,No,Surface,Extension,3.825,EXS-TVX,0.044,0.048,<10,6.43,7.08,10.20%,136,,,
Tenoriba,917799,50341,Mexico,Gold,6/14/2017,Mammoth Resources Corporation,4352024,Gold,330745,Exploration,No,Surface,Exploration,429.046,MTH-TVX,0.053,0.058,<10,1,1.1,9.70%,140,,,
Sakami,902996,31985,Canada,Gold,5/18/2017,Canada Strategic Metals Inc.,4348875,Gold,PT-17-100A,Target Outline,No,Surface,Extension,951.99,CJC-TVX,0.085,0.093,<10,8.7,9.53,9.50%,142,,,
Lucky Mike,879461,66781,Canada,Copper,4/12/2017,ArcPacific Resources Corp.,4418942,Molybdenum,LM16-01,Advanced Exploration,Yes,Surface,Extension,"5,170.61",ACP-TVX,0.03,0.033,<10,0.23,0.25,9.40%,143,,,
Paupong,930132,70827,Australia,Gold,6/26/2017,Alt Resources Limited,4576587,Copper,PDD016,Target Outline,No,Surface,Exploration,15.134,ARS-ASX,0.03,0.043,<10,2.02,2.96,41.90%,14,,5,No other results in the top ten. Over a month earlier there was a drill result reported from the same property.
Challenger,903476,29378,Australia,Gold,5/22/2017,WPG Resources Limited,4282806,Gold,07CUD0323,Operating,Yes,Underground,Extension,"7,379.94",WPG-ASX,0.041,0.056,>10 - 100,30.95,42.12,36.10%,21,,,"If we remove NQ minerals, this result would be removed as a duplicate and an asterik added next to the top WPG Resources result."
Woodlark Island,898579,29094,Papua New Guinea,Gold,5/10/2017,Kula Gold Limited,4361895,Gold,BS17RC007,Feasibility Complete,Yes,Surface,Extension,"6,622.00",KGD-ASX,0.021,0.022,<10,7.74,8.4,8.50%,151,,,
Seymour Lake,904280,32093,Canada,Lithium,5/22/2017,Ardiden Limited,4354600,Lithium,SL-17-03,Target Outline,Yes,Surface,Extension,"3,360.00",ADV-ASX,0.01,0.011,<10,8.54,9.68,8.40%,153,,,
Armagh-Monaghan,899195,30869,Ireland,Gold,5/11/2017,Conroy Gold and Natural Resources Plc,4349433,Gold,CG_01_5/11/2017,Prefeas/Scoping,Yes,Underground,Exploration,"3,858.70",CGNR-AIMLSE,0.159,0.171,<10,1.75,1.89,7.90%,164,,,
Tampia,878689,49958,Australia,Gold,4/12/2017,Explaurum Limited,4350040,Gold,THRC140,Prefeas/Scoping,Yes,Surface,Extension,"5,197.83",EXU-ASX,0.058,0.079,>10 - 100,20.3,27.47,35.30%,22,,,All other results came afterwards. 
River Valley,899056,31228,Canada,Palladium,5/10/2017,New Age Metals Inc.,4353165,Platinum Group Metals,DN-T2-06,Reserves Development,No,Surface,Extension,NA,NAM-TVX,0.062,0.067,<10,4.22,4.57,7.70%,168,,,
Gowganda,875742,63388,Canada,Gold,4/5/2017,Aldershot Resources Ltd.,4347888,Gold,TMH17-030,Target Outline,No,Surface,Extension,794.488,ALZ-TVX,0.056,0.059,<10,2.78,2.92,5.30%,203,,,
Bynoe,937815,77268,Australia,Lithium,6/28/2017,Liontown Resources Limited,4351851,Lithium,LBRC071,Target Outline,No,Surface,Exploration,"1,280.00",LTR-ASX,0.008,0.008,<10,7.52,7.85,4.50%,218,,,
Doulnia,938664,37646,Burkina Faso,Gold,6/29/2017,Vital Metals Limited,4355245,Gold,BOURC004,Target Outline,No,Surface,Infill,"3,158.05",VML-ASX,0.008,0.008,<10,8.05,8.38,4.20%,222,,,
Merolia,932648,67632,Australia,Nickel,6/27/2017,White Cliff Minerals Limited,4355378,Gold,BEAC004,Target Outline,Yes,Surface,Extension,"1,523.18",WCN-ASX,0.002,0.002,<10,4.28,4.41,3.00%,240,,,
Ajana,888810,70769,Australia,Graphite,4/27/2017,Anson Resources Limited,4352129,Graphite,MS21,Target Outline,No,Surface,Exploration,375,ASN-ASX,0.021,0.022,<10,3.84,3.95,2.90%,243,,,
County Clare,918500,34156,Ireland,Zinc,6/19/2017,Hannan Metals Ltd.,4351656,Zinc,DH06,Reserves Development,Yes,Surface,Extension,"9,531.56",HAN-TVX,0.302,0.31,<10,8.3,8.52,2.70%,249,,,
Richmond Basin,916722,26543,USA,Silver,6/14/2017,Northern Sphere Mining Corp.,4348145,Silver,NSM_CS2_6.14.2017,Preproduction,No,Surface,Exploration,225.404,NSM-CNQ,0.159,0.163,<10,4.53,4.63,2.30%,261,,,
Lynn Lake,911136,27307,Canada,Nickel,6/2/2017,Corazon Mining Limited,4349511,Nickel,FLC-2017-08,Prefeas/Scoping,No,Surface,Extension,488.418,CZN-ASX,0.01,0.011,<10,9.3,9.49,2.10%,265,,,
Zulema,875589,32686,Chile,Copper,4/3/2017,Chilean Metals Inc.,4351296,Copper,Hole 5,Target Outline,No,Surface,Extension,84.767,CMX-TVX,0.109,0.111,<10,8.21,8.38,2.10%,266,,,
Gold Rock,911130,58454,Canada,Gold,6/2/2017,Copper Reef Mining Corporation,4349500,Gold,Gr-142,Target Outline,No,Surface,Exploration,"1,104.30",CZC-CNQ,0.019,0.019,<10,2.63,2.68,1.90%,271,,,
Rice Island,895592,76615,Canada,Nickel,5/3/2017,Wolfden Resources Corporation,4355418,Nickel,RI-17-34,Target Outline,No,Surface,Extension,754.952,WLF-TVX,0.109,0.111,<10,8.86,9.02,1.80%,275,,,
Poker Brown,897128,78637,USA,Gold,5/8/2017,Pacific Ridge Exploration Limited,4353168,Gold,PB17-04,Exploration,No,Surface,Exploration,406.465,PEX-TVX,0.044,0.045,<10,1.36,1.39,1.70%,278,,,
Magogaphate,911759,36178,Botswana,Nickel,6/5/2017,Botswana Metals Limited,4348671,Cobalt,MARC0096,Feasibility Started,No,Surface,Exploration,161.004,BML-ASX,0.001,0.001,<10,1.09,1.11,1.70%,280,,,
Jersey-Emerald,908338,30201,Canada,Molybdenum,5/29/2017,Margaux Resources Limited,4529803,Gold,E1433,Reserves Development,No,Surface,Exploration,"1,878.37",MRL-TVX,0.186,0.189,<10,9.22,9.37,1.60%,281,,,
