propertyName,intervalIdent,countryName,holeID,reportDate,reportingComp,stage,significantInterval,surfaceUnder,purpose,exchg,date1,date20,marketCapRange,marketCap1,marketCap20,within21,Rank,gainPercent,change
Cariboo,866916,Canada,IM-17-044,3/28/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,Yes,Surface,Exploration,BGM-TVX,0.36,0.88,>100,115.87,292.93,FALSE,2,148,increase
Cariboo,861104,Canada,IM-17-040,3/21/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.33,0.52,>100,106.23,174.08,FALSE,21,60,increase
Cariboo,860374,Canada,IM-17-027,3/16/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.34,0.52,>100,110.32,173.4,FALSE,24,54,increase
Jaurdi,839257,Australia,JD17C10,1/31/2017,Beacon Minerals Limited,Target Outline,Yes,Surface,Exploration,BCN-ASX,0.01,0.02,>10 - 100,13.57,29.87,FALSE,4,120,increase
Pickle Crow,810489,Canada,PC-16-306,2/3/2017,First Mining Finance Corp.,Reserves Development,No,Surface,Extension,FF-TSX,0.61,0.82,>100,310.7,415.29,FALSE,51,32,increase
Windfall Lake,788673,Canada,OSK-W-16-743,1/5/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,1.95,2.58,>100,315.67,415.01,FALSE,52,32,increase
Sugar Zone,847063,Canada,WZ-17-52,2/22/2017,Harte Gold Corporation,Prefeas/Scoping,Yes,Surface,Extension,HRT-TSX,0.28,0.37,>100,121.73,162.56,FALSE,55,32,increase
Railroad-Pinion,799129,USA,DS16-18,1/19/2017,Gold Standard Ventures Corporation,Reserves Development,Yes,Surface,Extension,GSV-TVX,2.18,2.87,>100,482.55,635.93,FALSE,56,31,increase
Kiena,812509,Canada,6143,2/8/2017,Wesdome Gold Mines Limited,Operating,Yes,Underground,Extension,WDO-TSX,2.14,2.82,>100,278.98,367.8,FALSE,57,31,increase
Windfall Lake,792254,Canada,OSK-W-16-760,1/11/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.01,2.59,>100,325.11,416.01,FALSE,67,28,increase
Springpole,811427,Canada,PM-DH-02,2/6/2017,First Mining Finance Corp.,Prefeas/Scoping,Yes,Surface,Metallurgical,FF-TSX,0.62,0.8,>100,315.17,407.59,FALSE,69,28,increase
Railroad-Pinion,801669,USA,RR16-05,1/23/2017,Gold Standard Ventures Corporation,Reserves Development,Yes,Surface,Extension,GSV-TVX,2.23,2.85,>100,493.51,630.34,FALSE,73,27,increase
Sugar Zone,860221,Canada,SZ-17-143,3/16/2017,Harte Gold Corporation,Prefeas/Scoping,Yes,Surface,Extension,HRT-TSX,0.4,0.51,>100,175.69,225.09,FALSE,76,26,increase
Golden Bear,859291,Canada,OSK-G17-331,3/15/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.99,3.78,>100,547.08,690.95,FALSE,77,0,same
Black Dog,798180,Canada,OSK-BD-16-006,1/18/2017,Osisko Mining Inc.,Reserves Development,No,Surface,Extension,OSK-TSX,2.36,2.93,>100,378.81,475.31,FALSE,86,0,same
Windfall Lake,862844,Canada,OSK-W-17-766-W1,3/22/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,3.3,4.07,>100,607.74,744.34,FALSE,91,0,same
Windfall Lake,802316,Canada,OSK-W-16-735,1/23/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.4,2.95,>100,385.78,478.37,FALSE,95,23,increase
Golden Bear,795057,Canada,OSK-G16-213X,1/16/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.24,2.75,>100,359.94,444.81,FALSE,96,0,same
Boorara,825539,Australia,BODH025,2/14/2017,MacPhersons Resources Limited,Feasibility Started,Yes,Surface,Extension,MRP-ASX,0.07,0.16,>10 - 100,23.03,50.57,FALSE,5,119,increase
El Limon-Guajes,788478,Mexico,SST-01,1/5/2017,Torex Gold Resources Inc.,Operating,Yes,Surface,Exploration,TXG-TSX,16.58,19.97,>100,1320.3,1590.92,FALSE,104,20,increase
Windfall Lake,873635,Canada,OSK-W-16-728,3/28/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,3.45,4.12,>100,637.19,754.45,FALSE,113,19,increase
Fifteen Mile Stream,860328,Canada,FMS-17-059,3/16/2017,Atlantic Gold Corporation,Prefeas/Scoping,Yes,Surface,Definition,AGB-TVX,0.73,0.86,>100,126.27,149.24,FALSE,122,18,increase
Saramacca,867588,Suriname,SMDD17-077,3/29/2017,IAMGOLD Corporation,Exploration,Yes,Surface,Infill,IMG-TSX,3.83,4.48,>100,1768.13,2081.87,FALSE,126,16,increase
Cochrane Hill,772414,Canada,CH-16-061,1/3/2017,Atlantic Gold Corporation,Feasibility Started,No,Surface,Infill,AGB-TVX,0.63,0.71,>100,108.54,123.75,FALSE,146,14,increase
Syama,797993,Mali,SYDD446,1/19/2017,Resolute Mining Limited,Expansion,Yes,Underground,Extension,RSG-ASX,1.12,1.27,>100,825,939.21,FALSE,148,13,increase
Fifteen Mile Stream,849831,Canada,FMS-17-021,3/1/2017,Atlantic Gold Corporation,Prefeas/Scoping,No,Surface,Definition,AGB-TVX,0.73,0.83,>100,127.3,144.43,FALSE,153,13,increase
Ernest Giles,793116,Australia,ERC011,1/12/2017,Greatland Gold Plc,Target Outline,Yes,Surface,Exploration,GGP-AIMLSE,0,0,<10,3.45,5.95,FALSE,12,67,increase
Hasaga,849745,Canada,HMP151,3/1/2017,Premier Gold Mines Limited,Reserves Development,Yes,Surface,Extension,PG-TSX,1.96,2.21,>100,394.76,444.27,FALSE,163,12,increase
Golden Bear,808920,Canada,OSK-G17-326,2/1/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.59,2.91,>100,416.01,471.76,FALSE,164,0,same
Detour Lake,806978,Canada,DLD-16-346,1/30/2017,Detour Gold Corporation,Operating,Yes,Surface,Extension,DGC-TSX,12.79,14.39,>100,2233.46,2511.5,FALSE,165,12,increase
Wassa,851230,Ghana,BS16DD013,3/6/2017,Golden Star Resources Limited,Operating,Yes,Underground,Infill,GSS-US,0.75,0.84,>100,280.13,315.98,FALSE,167,12,increase
Cariboo,788581,Canada,BGM-16-587,1/5/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,Yes,Surface,Extension,BGM-TVX,0.33,0.37,>100,106.49,119.33,FALSE,175,12,increase
Asanko,852937,Ghana,AKPC17-016,3/8/2017,Asanko Gold Inc.,Expansion,No,Surface,Infill,AKG-TSX,2.33,2.6,>100,469.44,528.63,FALSE,179,11,increase
Island,868844,Canada,MH4-4B,3/30/2017,Richmont Mines Incorporated,Expansion,Yes,Surface,Extension,RIC-TSX,7.02,7.71,>100,444.07,487.87,FALSE,199,9,increase
Dublin Gulch,799074,Canada,VBW13-02C,1/19/2017,Victoria Gold Corp.,Feasibility Complete,Yes,Surface,Exploration,VIT-TVX,0.44,0.48,>100,219.08,241.31,FALSE,201,9,increase
El Aguila,807735,Mexico,516148,2/1/2017,Gold Resource Corporation,Operating,Yes,Underground,Extension,GORO-US,5.38,5.89,>100,305.8,334.79,FALSE,204,9,increase
True North,803108,Canada,32-16-005,1/24/2017,Klondex Mines Ltd.,Limited Production,Yes,Underground,Extension,KDX-TSX,5.19,5.66,>100,908.79,991.48,FALSE,209,9,increase
Matilda,772587,Australia,WURC0135,1/4/2017,Blackham Resources Limited,Operating,Yes,In Pit,Extension,BLK-ASX,0.34,0.57,>10 - 100,97.04,161.56,FALSE,13,66,increase
Waihi,868595,New Zealand,GT1035,3/30/2017,OceanaGold Corporation,Operating,Yes,Surface,Extension,OGC-TSX,2.98,3.24,>100,1827.14,1988.37,FALSE,222,8,increase
Haile,868515,USA,DDH0584,3/30/2017,OceanaGold Corporation,Operating,Yes,Surface,Extension,OGC-TSX,2.98,3.24,>100,1827.14,1988.37,FALSE,222,8,increase
Macraes Flat,868645,New Zealand,RCH6341,3/30/2017,OceanaGold Corporation,Operating,Yes,Surface,Extension,OGC-TSX,2.98,3.24,>100,1827.14,1988.37,FALSE,222,8,increase
Castle Mountain,811491,USA,CMM-128,2/6/2017,NewCastle Gold Ltd.,Prefeas/Scoping,Yes,Surface,Extension,NCA-TSX,0.57,0.61,>100,104.51,112.12,FALSE,232,7,increase
Cochrane Hill,791843,Canada,CH-16-064,1/11/2017,Atlantic Gold Corporation,Feasibility Started,Yes,Surface,Extension,AGB-TVX,0.7,0.74,>100,120.77,127.82,FALSE,249,5,increase
Stibnite,801663,USA,MGI-16-417,1/23/2017,Midas Gold Corporation,Prefeas/Scoping,Yes,In Pit,Extension,MAX-TSX,0.65,0.68,>100,116.13,122.55,FALSE,258,5,increase
Sabodala,806338,Senegal,MDD16-0171,1/29/2017,Teranga Gold Corporation,Operating,Yes,In Pit,Extension,TGZ-TSX,3.58,3.74,>100,384.42,401.2,FALSE,267,4,increase
Davyhurst,791012,Australia,CNRC100,1/10/2017,Eastern Goldfields Limited,Feasibility Started,Yes,In Pit,Extension,EGS-ASX,0.2,0.29,>10 - 100,97.79,141.65,FALSE,30,44,increase
Stibnite,869097,USA,MGI-17-423,3/30/2017,Midas Gold Corporation,Prefeas/Scoping,Yes,Surface,Extension,MAX-TSX,0.59,0.61,>100,106.33,110.08,FALSE,280,3,increase
Santa Rosa,795752,Colombia,SRD-0101,1/17/2017,Red Eagle Mining Corporation,Operating,Yes,Surface,Extension,R-TSX,0.61,0.62,>100,146.55,150.79,FALSE,285,2,increase
Davyhurst,793194,Australia,RVRC16095,1/12/2017,Eastern Goldfields Limited,Feasibility Started,Yes,Surface,Extension,EGS-ASX,0.2,0.28,>10 - 100,99.91,139.86,FALSE,35,39,increase
Balagundi,792274,Australia,BGP0131,1/12/2017,Great Boulder Resources Limited,Target Outline,No,Surface,Extension,GBR-ASX,0.09,0.13,<10,3.41,4.77,FALSE,37,39,increase
La Colorada,860857,Mexico,17-LCRC-490,3/20/2017,Argonaut Gold Inc.,Operating,Yes,Surface,Extension,AR-TSX,1.74,1.78,>100,304.89,314.41,FALSE,299,1,increase
El Aguila,792917,Mexico,516147,1/12/2017,Gold Resource Corporation,Operating,Yes,Underground,Extension,GORO-US,5.34,5.44,>100,302.07,309.21,FALSE,301,1,increase
Fifteen Mile Stream,805214,Canada,PL-16-003,1/25/2017,Atlantic Gold Corporation,Prefeas/Scoping,Yes,Surface,Definition,AGB-TVX,0.74,0.75,>100,127.74,129.93,FALSE,305,1,increase
Tucano,808489,Brazil,GCRC20078,2/2/2017,Beadell Resources Limited,Operating,Yes,Surface,Extension,BDR-ASX,0.24,0.24,>100,252.31,294.76,FALSE,307,1,increase
Castle Mountain,792949,USA,CMM-109,1/12/2017,NewCastle Gold Ltd.,Prefeas/Scoping,Yes,Surface,Extension,NCA-TSX,0.55,0.56,>100,101.02,102.49,FALSE,310,1,increase
Mercedes,791694,Mexico,R16-133D,1/11/2017,Premier Gold Mines Limited,Operating,Yes,Surface,Extension,PG-TSX,2.22,2.25,>100,447.07,453.1,FALSE,312,1,increase
McCoy/Cove,791713,USA,PG16-28,1/11/2017,Premier Gold Mines Limited,Reserves Development,Yes,Surface,Extension,PG-TSX,2.22,2.25,>100,447.07,453.1,FALSE,312,1,increase
Goldbanks,791716,USA,GB16-02,1/11/2017,Premier Gold Mines Limited,Reserves Development,No,Surface,Definition,PG-TSX,2.22,2.25,>100,447.07,453.1,FALSE,312,1,increase
Cochrane Hill,809004,Canada,CH-16-103,2/2/2017,Atlantic Gold Corporation,Feasibility Started,No,Underground,Definition,AGB-TVX,0.74,0.75,>100,128.54,130.14,FALSE,317,1,increase
Val-dOr East,851499,Canada,PC-16-100,3/6/2017,Probe Metals Inc.,Reserves Development,Yes,Surface,Definition,PRB-TVX,1.08,1.09,>100,100.43,101.76,FALSE,323,0,same
Tetlin,799380,USA,TET16302,1/19/2017,"Contango ORE, Inc.",Reserves Development,Yes,Surface,Extension,CTGO-US,21,21,>100,102.98,102.98,FALSE,350,0,same
Ernest Giles,799430,Australia,ERC011,1/19/2017,Greatland Gold Plc,Target Outline,No,Surface,Extension,GGP-AIMLSE,0,0,<10,3.62,5.43,FALSE,45,35,increase
Blue Spec Shear,799078,Australia,16BSDH033,1/18/2017,Novo Resources Corporation,Prefeas/Scoping,Yes,Surface,Extension,NVO-TVX,0.61,0.82,>10 - 100,56.96,76.37,FALSE,50,34,increase
Fire Creek,812818,USA,FCU-0714,2/8/2017,Klondex Mines Ltd.,Operating,Yes,Underground,Extension,KDX-TSX,5.46,5.34,>100,956.45,935.44,FALSE,412,-2,decrease
Leonora-Laverton,839987,Australia,MMJRCD-01,2/17/2017,Magnetic Resources NL,Target Outline,No,Surface,Exploration,MAU-ASX,0.03,0.05,<10,4.98,6.46,FALSE,59,30,increase
Windfall Lake,836163,Canada,OSK-W-16-749,2/14/2017,Osisko Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,OSK-TSX,2.98,2.91,>100,483.03,531.96,FALSE,420,-2,decrease
Indee,814418,Australia,INRC0722,2/9/2017,De Grey Mining Limited,Closed,Yes,Surface,Exploration,DEG-ASX,0.04,0.05,<10,6.76,8.76,FALSE,65,29,increase
Fifteen Mile Stream,814947,Canada,FMS-17-013,2/10/2017,Atlantic Gold Corporation,Prefeas/Scoping,Yes,Surface,Definition,AGB-TVX,0.73,0.71,>100,126.71,122.99,FALSE,430,-2,decrease
Restdown,801752,Australia,HRAC018,1/24/2017,Helix Resources Limited,Reserves Development,Yes,Surface,Extension,HLX-ASX,0.03,0.04,>10 - 100,10.29,15.17,FALSE,70,28,increase
Mina,862681,USA,MGAT-005,3/23/2017,Gold Resource Corporation,Target Outline,Yes,Surface,Exploration,GORO-US,4.52,4.38,>100,256.92,248.96,FALSE,436,-3,decrease
Batchelor,814277,Australia,MGR230,2/10/2017,Korab Resources Limited,Prefeas/Scoping,No,Surface,Exploration,KOR-ASX,0.01,0.02,<10,3.1,3.93,FALSE,75,26,increase
Ana Paula,847233,Mexico,AP-16-253,2/23/2017,Timmins Gold Corp.,Feasibility Started,Yes,In Pit,Infill,ALO-TSX,3.87,3.72,>100,137.55,132.16,FALSE,449,-3,decrease
Bibiani,861969,Ghana,BSDD040,3/23/2017,Resolute Mining Limited,Feasibility Complete,Yes,Surface,Extension,RSG-ASX,1.09,1.04,>100,802.79,764.53,FALSE,459,-4,decrease
Sandstone,849795,Australia,AHMRC002,3/2/2017,Alto Metals Limited,Target Outline,Yes,Surface,Extension,AME-ASX,0.06,0.08,<10,9.3,11.65,FALSE,82,25,increase
Yamarna,867715,Australia,15GYWB0004,3/29/2017,Great Boulder Resources Limited,Construction Planned,No,Surface,Extension,GBR-ASX,0.11,0.14,<10,4.25,5.31,FALSE,83,25,increase
Cariboo,848888,Canada,IM-17-016,2/28/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,Yes,Surface,Definition,BGM-TVX,0.35,0.33,>100,114.56,106.23,FALSE,499,-7,decrease
Great Western,791255,Australia,GWRC0131,1/11/2017,Terrain Minerals Limited,Prefeas/Scoping,Yes,Surface,Extension,TMX-ASX,0.01,0.01,<10,3.8,4.7,FALSE,89,23,increase
Gold Mesa,861127,USA,GMA-084,3/21/2017,Gold Resource Corporation,Target Outline,Yes,Surface,Extension,GORO-US,4.69,4.33,>100,266.58,246.12,FALSE,508,-7,decrease
Bjorkdal,806077,Sweden,ME6-015,1/27/2017,Mandalay Resources Corporation,Operating,Yes,Surface,Extension,MND-TSX,0.66,0.61,>100,299.63,276.29,FALSE,510,-7,decrease
Lake Roe,806674,Australia,BBRC0166,1/31/2017,Breaker Resources NL,Target Outline,Yes,Surface,Extension,BRB-ASX,0.36,0.44,>10 - 100,46.61,57.33,FALSE,94,23,increase
Whitney,790920,Canada,TW16-611,1/9/2017,Tahoe Resources Inc.,Reserves Development,Yes,Underground,Exploration,THO-TSX,9.64,8.85,>100,3000.94,2752.4,FALSE,517,-8,decrease
Bell Creek,789949,Canada,BC875-1553,1/9/2017,Tahoe Resources Inc.,Satellite,Yes,Underground,Extension,THO-TSX,9.64,8.85,>100,3000.94,2752.4,FALSE,517,-8,decrease
Timmins,789813,Canada,910-208,1/9/2017,Tahoe Resources Inc.,Operating,No,Underground,Extension,THO-TSX,9.64,8.85,>100,3000.94,2752.4,FALSE,517,-8,decrease
Shahuindo,789720,Peru,SHA-R15-348,1/9/2017,Tahoe Resources Inc.,Operating,Yes,Surface,Extension,THO-TSX,9.64,8.85,>100,3000.94,2752.4,FALSE,517,-8,decrease
Gold River,789895,Canada,TH-16-145A,1/9/2017,Tahoe Resources Inc.,Reserves Development,Yes,Surface,Extension,THO-TSX,9.64,8.85,>100,3000.94,2752.4,FALSE,517,-8,decrease
Nullagine,800402,Australia,DCRD0031,1/23/2017,Millennium Minerals Limited,Operating,Yes,Surface,Extension,MOY-ASX,0.2,0.25,>100,159.21,194.73,FALSE,99,22,increase
El Castillo,847607,Mexico,CI-05,2/23/2017,Argonaut Gold Inc.,Operating,Yes,In Pit,Extension,AR-TSX,1.93,1.75,>100,305.87,305.55,FALSE,548,-9,decrease
Stibnite,847297,USA,MGI-17-421,2/23/2017,Midas Gold Corporation,Prefeas/Scoping,Yes,In Pit,Extension,MAX-TSX,0.67,0.61,>100,121.49,109.79,FALSE,549,-9,decrease
Tuligtic,812546,Mexico,TU-16-487,2/8/2017,Almaden Minerals Limited,Prefeas/Scoping,Yes,Surface,Extension,AMM-TSX,1.25,1.12,>100,110.55,100.4,FALSE,553,-10,decrease
Leonora,791290,Australia,MT16RC009,1/11/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.14,0.17,>10 - 100,16.46,19.55,FALSE,117,18,increase
Yaramoko,808936,Burkina Faso,YRM-16-DD-434,2/2/2017,Roxgold Inc.,Operating,Yes,Surface,Extension,ROXG-TSX,1.21,1.08,>100,448.42,402.58,FALSE,556,-10,decrease
Halls Creek,788438,Australia,PWRC16007,1/5/2017,Pantoro Limited,Expansion,No,Surface,Extension,PNR-ASX,0.13,0.15,>10 - 100,97.33,115.2,FALSE,120,18,increase
Cariboo,846909,Canada,CM-17-002,2/22/2017,Barkerville Gold Mines Ltd.,Prefeas/Scoping,No,Surface,Metallurgical,BGM-TVX,0.36,0.33,>100,119.05,106.6,FALSE,562,-10,decrease
