countryName,exchg,purpose,date1,holdID,intervalIdent,marketCap1,marketCap20,marketCapRange,propertyName,Rank,reportDate,reportingComp,significantInterval,stage,surfaceUnder,date20,within21,gainPercent,change
Canada,BGM-TVX,Exploration,0.36,IM-17-044,866916,115.87,292.93,>100,Cariboo,2,3/28/2017,Barkerville Gold Mines Ltd.,Yes,Prefeas/Scoping,Surface,0.88,FALSE,148,increase
Canada,BGM-TVX,Extension,0.33,IM-17-040,861104,106.23,174.08,>100,Cariboo,21,3/21/2017,Barkerville Gold Mines Ltd.,Yes,Prefeas/Scoping,Surface,0.52,FALSE,60,increase
Canada,BGM-TVX,Extension,0.34,IM-17-027,860374,110.32,173.4,>100,Cariboo,24,3/16/2017,Barkerville Gold Mines Ltd.,Yes,Prefeas/Scoping,Surface,0.52,FALSE,54,increase
Australia,BCN-ASX,Exploration,0.01,JD17C10,839257,13.57,29.87,>10 - 100,Jaurdi,4,1/31/2017,Beacon Minerals Limited,Yes,Target Outline,Surface,0.02,FALSE,120,increase
Canada,FF-TSX,Extension,0.61,PC-16-306,810489,310.7,415.29,>100,Pickle Crow,51,2/3/2017,First Mining Finance Corp.,No,Reserves Development,Surface,0.82,FALSE,32,increase
Canada,OSK-TSX,Extension,1.95,OSK-W-16-743,788673,315.67,415.01,>100,Windfall Lake,52,1/5/2017,Osisko Mining Inc.,Yes,Prefeas/Scoping,Surface,2.58,FALSE,32,increase
Canada,HRT-TSX,Extension,0.28,WZ-17-52,847063,121.73,162.56,>100,Sugar Zone,55,2/22/2017,Harte Gold Corporation,Yes,Prefeas/Scoping,Surface,0.37,FALSE,32,increase
USA,GSV-TVX,Extension,2.18,DS16-18,799129,482.55,635.93,>100,Railroad-Pinion,56,1/19/2017,Gold Standard Ventures Corporation,Yes,Reserves Development,Surface,2.87,FALSE,31,increase
Canada,WDO-TSX,Extension,2.14,6143,812509,278.98,367.8,>100,Kiena,57,2/8/2017,Wesdome Gold Mines Limited,Yes,Operating,Underground,2.82,FALSE,31,increase
Canada,OSK-TSX,Extension,2.01,OSK-W-16-760,792254,325.11,416.01,>100,Windfall Lake,67,1/11/2017,Osisko Mining Inc.,Yes,Prefeas/Scoping,Surface,2.59,FALSE,28,increase
Canada,FF-TSX,Metallurgical,0.62,PM-DH-02,811427,315.17,407.59,>100,Springpole,69,2/6/2017,First Mining Finance Corp.,Yes,Prefeas/Scoping,Surface,0.8,FALSE,28,increase
USA,GSV-TVX,Extension,2.23,RR16-05,801669,493.51,630.34,>100,Railroad-Pinion,73,1/23/2017,Gold Standard Ventures Corporation,Yes,Reserves Development,Surface,2.85,FALSE,27,increase
Canada,HRT-TSX,Extension,0.4,SZ-17-143,860221,175.69,225.09,>100,Sugar Zone,76,3/16/2017,Harte Gold Corporation,Yes,Prefeas/Scoping,Surface,0.51,FALSE,26,increase
Canada,OSK-TSX,Extension,2.99,OSK-G17-331,859291,547.08,690.95,>100,Golden Bear,77,3/15/2017,Osisko Mining Inc.,Yes,Prefeas/Scoping,Surface,3.78,FALSE,0,same
Canada,OSK-TSX,Extension,2.36,OSK-BD-16-006,798180,378.81,475.31,>100,Black Dog,86,1/18/2017,Osisko Mining Inc.,No,Reserves Development,Surface,2.93,FALSE,0,same
